Year,Date,Region,Site,Latitude,Longitude,Quadrat (m2),Replicate,ZosteraShoot
2012,5/9/2012,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,3,59
2012,5/9/2012,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,4,49
2012,5/9/2012,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,5,53
2012,5/9/2012,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,6,86
2012,5/9/2012,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,7,43
2012,5/9/2012,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,8,42
2012,5/9/2012,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,9,57
2012,5/9/2012,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,10,42
2013,5/7/2013,KachemakBay,JakolofBay,59.449,-151.499,0.25,1,3
2013,5/7/2013,KachemakBay,JakolofBay,59.449,-151.499,0.25,2,34
2013,5/7/2013,KachemakBay,JakolofBay,59.449,-151.499,0.25,3,15
2013,5/7/2013,KachemakBay,JakolofBay,59.449,-151.499,0.25,4,18
2013,5/7/2013,KachemakBay,JakolofBay,59.449,-151.499,0.25,5,11
2013,5/7/2013,KachemakBay,JakolofBay,59.449,-151.499,0.25,6,9
2013,5/7/2013,KachemakBay,JakolofBay,59.449,-151.499,0.25,7,29
2013,5/7/2013,KachemakBay,JakolofBay,59.449,-151.499,0.25,8,18
2013,5/7/2013,KachemakBay,JakolofBay,59.449,-151.499,0.25,9,19
2013,5/7/2013,KachemakBay,JakolofBay,59.449,-151.499,0.25,10,13
2013,5/8/2013,KachemakBay,Herring Island,59.46451667,-151.709,0.25,1,69
2013,5/8/2013,KachemakBay,Herring Island,59.46451667,-151.709,0.25,2,86
2013,5/8/2013,KachemakBay,Herring Island,59.46451667,-151.709,0.25,3,52
2013,5/8/2013,KachemakBay,Herring Island,59.46451667,-151.709,0.25,4,63
2013,5/8/2013,KachemakBay,Herring Island,59.46451667,-151.709,0.25,5,76
2013,5/8/2013,KachemakBay,Herring Island,59.46451667,-151.709,0.25,6,52
2013,5/8/2013,KachemakBay,Herring Island,59.46451667,-151.709,0.25,7,29
2013,5/8/2013,KachemakBay,Herring Island,59.46451667,-151.709,0.25,8,64
2013,5/8/2013,KachemakBay,Herring Island,59.46451667,-151.709,0.25,9,124
2013,5/8/2013,KachemakBay,Herring Island,59.46451667,-151.709,0.25,10,158
2013,5/12/2013,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,1,68
2013,5/12/2013,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,2,34
2013,5/12/2013,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,3,44
2013,5/12/2013,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,4,72
2013,5/12/2013,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,5,56
2013,5/12/2013,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,6,98
2013,5/12/2013,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,7,26
2013,5/12/2013,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,8,40
2013,5/12/2013,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,9,84
2013,5/12/2013,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,10,22
2013,5/11/2013,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,1,46
2013,5/11/2013,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,2,29
2013,5/11/2013,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,3,41
2013,5/11/2013,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,4,56
2013,5/11/2013,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,5,37
2013,5/11/2013,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,6,91
2013,5/11/2013,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,7,62
2013,5/11/2013,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,8,91
2013,5/11/2013,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,9,47
2013,5/11/2013,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,10,59
2014,4/27/2014,KachemakBay,JakolofBay,59.449,-151.499,0.25,1,2
2014,4/27/2014,KachemakBay,JakolofBay,59.449,-151.499,0.25,2,1
2014,4/27/2014,KachemakBay,JakolofBay,59.449,-151.499,0.25,3,1
2014,4/27/2014,KachemakBay,JakolofBay,59.449,-151.499,0.25,4,1
2014,4/27/2014,KachemakBay,JakolofBay,59.449,-151.499,0.25,5,2
2014,4/27/2014,KachemakBay,JakolofBay,59.449,-151.499,0.25,6,0
2014,4/27/2014,KachemakBay,JakolofBay,59.449,-151.499,0.25,7,1
2014,4/27/2014,KachemakBay,JakolofBay,59.449,-151.499,0.25,8,12
2014,4/27/2014,KachemakBay,JakolofBay,59.449,-151.499,0.25,9,41
2014,4/27/2014,KachemakBay,JakolofBay,59.449,-151.499,0.25,10,23
2014,4/28/2014,KachemakBay,Herring Island,59.46451667,-151.709,0.25,1,104
2014,4/28/2014,KachemakBay,Herring Island,59.46451667,-151.709,0.25,2,123
2014,4/28/2014,KachemakBay,Herring Island,59.46451667,-151.709,0.25,3,203
2014,4/28/2014,KachemakBay,Herring Island,59.46451667,-151.709,0.25,4,89
2014,4/28/2014,KachemakBay,Herring Island,59.46451667,-151.709,0.25,5,67
2014,4/28/2014,KachemakBay,Herring Island,59.46451667,-151.709,0.25,6,91
2014,4/28/2014,KachemakBay,Herring Island,59.46451667,-151.709,0.25,7,87
2014,4/28/2014,KachemakBay,Herring Island,59.46451667,-151.709,0.25,8,99
2014,4/28/2014,KachemakBay,Herring Island,59.46451667,-151.709,0.25,9,152
2014,4/28/2014,KachemakBay,Herring Island,59.46451667,-151.709,0.25,10,134
2014,4/27/2014,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,1,36
2014,4/27/2014,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,2,45
2014,4/27/2014,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,3,24
2014,4/27/2014,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,4,52
2014,4/27/2014,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,5,47
2014,4/27/2014,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,6,32
2014,4/27/2014,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,7,40
2014,4/27/2014,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,8,28
2014,4/27/2014,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,9,88
2014,4/27/2014,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,10,204
2014,4/27/2014,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,1,56
2014,4/27/2014,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,2,66
2014,4/27/2014,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,3,48
2014,4/27/2014,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,4,65
2014,4/27/2014,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,5,84
2014,4/27/2014,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,6,68
2014,4/27/2014,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,7,58
2014,4/27/2014,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,8,86
2014,4/27/2014,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,9,72
2014,4/27/2014,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,10,66
2015,5/3/2015,KachemakBay,JakolofBay,59.449,-151.499,0.25,1,121
2015,5/3/2015,KachemakBay,JakolofBay,59.449,-151.499,0.25,2,84
2015,5/3/2015,KachemakBay,JakolofBay,59.449,-151.499,0.25,3,72
2015,5/3/2015,KachemakBay,JakolofBay,59.449,-151.499,0.25,4,82
2015,5/3/2015,KachemakBay,JakolofBay,59.449,-151.499,0.25,5,83
2015,5/3/2015,KachemakBay,JakolofBay,59.449,-151.499,0.25,6,45
2015,5/3/2015,KachemakBay,JakolofBay,59.449,-151.499,0.25,7,68
2015,5/3/2015,KachemakBay,JakolofBay,59.449,-151.499,0.25,8,103
2015,5/3/2015,KachemakBay,JakolofBay,59.449,-151.499,0.25,9,43
2015,5/3/2015,KachemakBay,JakolofBay,59.449,-151.499,0.25,10,52
2015,5/3/2015,KachemakBay,Herring Island,59.46451667,-151.709,0.25,1,18
2015,5/3/2015,KachemakBay,Herring Island,59.46451667,-151.709,0.25,2,38
2015,5/3/2015,KachemakBay,Herring Island,59.46451667,-151.709,0.25,3,41
2015,5/3/2015,KachemakBay,Herring Island,59.46451667,-151.709,0.25,4,28
2015,5/3/2015,KachemakBay,Herring Island,59.46451667,-151.709,0.25,5,22
2015,5/3/2015,KachemakBay,Herring Island,59.46451667,-151.709,0.25,6,18
2015,5/3/2015,KachemakBay,Herring Island,59.46451667,-151.709,0.25,7,21
2015,5/3/2015,KachemakBay,Herring Island,59.46451667,-151.709,0.25,8,12
2015,5/3/2015,KachemakBay,Herring Island,59.46451667,-151.709,0.25,9,34
2015,5/3/2015,KachemakBay,Herring Island,59.46451667,-151.709,0.25,10,46
2015,5/8/2015,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,1,53
2015,5/8/2015,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,2,58
2015,5/8/2015,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,3,49
2015,5/8/2015,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,4,42
2015,5/8/2015,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,5,20
2015,5/8/2015,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,6,37
2015,5/8/2015,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,7,32
2015,5/8/2015,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,8,41
2015,5/8/2015,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,9,31
2015,5/8/2015,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,10,28
2015,4/19/2015,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,1,78
2015,4/19/2015,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,2,84
2015,4/19/2015,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,3,60
2015,4/19/2015,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,4,58
2015,4/19/2015,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,5,42
2015,4/19/2015,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,6,63
2015,4/19/2015,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,7,72
2015,4/19/2015,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,8,49
2015,4/19/2015,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,9,67
2015,4/19/2015,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,10,52
2016,5/5/2016,KachemakBay,JakolofBay,59.449,-151.499,0.25,1,97
2016,5/5/2016,KachemakBay,JakolofBay,59.449,-151.499,0.25,2,65
2016,5/5/2016,KachemakBay,JakolofBay,59.449,-151.499,0.25,3,103
2016,5/5/2016,KachemakBay,JakolofBay,59.449,-151.499,0.25,4,86
2016,5/5/2016,KachemakBay,JakolofBay,59.449,-151.499,0.25,5,101
2016,5/5/2016,KachemakBay,JakolofBay,59.449,-151.499,0.25,6,88
2016,5/5/2016,KachemakBay,JakolofBay,59.449,-151.499,0.25,7,116
2016,5/5/2016,KachemakBay,JakolofBay,59.449,-151.499,0.25,8,93
2016,5/5/2016,KachemakBay,JakolofBay,59.449,-151.499,0.25,9,41
2016,5/5/2016,KachemakBay,JakolofBay,59.449,-151.499,0.25,10,71
2016,5/6/2016,KachemakBay,Herring Island,59.46451667,-151.709,0.25,1,78
2016,5/6/2016,KachemakBay,Herring Island,59.46451667,-151.709,0.25,2,58
2016,5/6/2016,KachemakBay,Herring Island,59.46451667,-151.709,0.25,3,47
2016,5/6/2016,KachemakBay,Herring Island,59.46451667,-151.709,0.25,4,63
2016,5/6/2016,KachemakBay,Herring Island,59.46451667,-151.709,0.25,5,23
2016,5/6/2016,KachemakBay,Herring Island,59.46451667,-151.709,0.25,6,22
2016,5/6/2016,KachemakBay,Herring Island,59.46451667,-151.709,0.25,7,73
2016,5/6/2016,KachemakBay,Herring Island,59.46451667,-151.709,0.25,8,33
2016,5/6/2016,KachemakBay,Herring Island,59.46451667,-151.709,0.25,9,44
2016,5/6/2016,KachemakBay,Herring Island,59.46451667,-151.709,0.25,10,48
2016,5/5/2016,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,1,38
2016,5/5/2016,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,2,14
2016,5/5/2016,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,3,12
2016,5/5/2016,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,4,28
2016,5/5/2016,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,5,24
2016,5/5/2016,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,6,41
2016,5/5/2016,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,7,13
2016,5/5/2016,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,8,9
2016,5/5/2016,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,9,19
2016,5/5/2016,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,10,30
2016,5/5/2016,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,1,4
2016,5/5/2016,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,2,22
2016,5/5/2016,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,3,36
2016,5/5/2016,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,4,32
2016,5/5/2016,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,5,34
2016,5/5/2016,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,6,51
2016,5/5/2016,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,7,13
2016,5/5/2016,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,8,28
2016,5/5/2016,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,9,10
2016,5/5/2016,KachemakBay,Homer Spit,59.64853333,-151.4365,0.25,10,5
2016,5/5/2016,KachemakBay,Homer Spit Drone,59.7257,151.141,0.25,1,26
2016,5/5/2016,KachemakBay,Homer Spit Drone,59.7257,151.141,0.25,2,16
2016,5/5/2016,KachemakBay,Homer Spit Drone,59.7257,151.141,0.25,3,24
2016,5/5/2016,KachemakBay,Homer Spit Drone,59.7257,151.141,0.25,4,6
2016,5/5/2016,KachemakBay,Homer Spit Drone,59.7257,151.141,0.25,5,18
2016,5/5/2016,KachemakBay,Homer Spit Drone,59.7257,151.141,0.25,6,24
2016,5/5/2016,KachemakBay,Homer Spit Drone,59.7257,151.141,0.25,7,4
2016,5/5/2016,KachemakBay,Homer Spit Drone,59.7257,151.141,0.25,8,5
2016,5/5/2016,KachemakBay,Homer Spit Drone,59.7257,151.141,0.25,9,14
2016,5/5/2016,KachemakBay,Homer Spit Drone,59.7257,151.141,0.25,10,16
2017,4/28/2017,KachemakBay,JakolofBay,59.449,-151.499,0.25,1,46
2017,4/28/2017,KachemakBay,JakolofBay,59.449,-151.499,0.25,2,31
2017,4/28/2017,KachemakBay,JakolofBay,59.449,-151.499,0.25,3,38
2017,4/28/2017,KachemakBay,JakolofBay,59.449,-151.499,0.25,4,13
2017,4/28/2017,KachemakBay,JakolofBay,59.449,-151.499,0.25,5,25
2017,4/28/2017,KachemakBay,JakolofBay,59.449,-151.499,0.25,6,8
2017,4/28/2017,KachemakBay,JakolofBay,59.449,-151.499,0.25,7,9
2017,4/28/2017,KachemakBay,JakolofBay,59.449,-151.499,0.25,8,21
2017,4/28/2017,KachemakBay,JakolofBay,59.449,-151.499,0.25,9,24
2017,4/28/2017,KachemakBay,JakolofBay,59.449,-151.499,0.25,10,18
2017,4/26/2017,KachemakBay,Herring Island,59.478218,-151.519772,0.25,1,62
2017,4/26/2017,KachemakBay,Herring Island,59.478218,-151.519772,0.25,2,72
2017,4/26/2017,KachemakBay,Herring Island,59.478218,-151.519772,0.25,3,23
2017,4/26/2017,KachemakBay,Herring Island,59.478218,-151.519772,0.25,4,46
2017,4/26/2017,KachemakBay,Herring Island,59.478218,-151.519772,0.25,5,37
2017,4/26/2017,KachemakBay,Herring Island,59.478218,-151.519772,0.25,6,127
2017,4/26/2017,KachemakBay,Herring Island,59.478218,-151.519772,0.25,7,27
2017,4/26/2017,KachemakBay,Herring Island,59.478218,-151.519772,0.25,8,56
2017,4/26/2017,KachemakBay,Herring Island,59.478218,-151.519772,0.25,9,56
2017,4/26/2017,KachemakBay,Herring Island,59.478218,-151.519772,0.25,10,39
2017,4/29/2017,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,1,4
2017,4/29/2017,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,2,5
2017,4/29/2017,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,3,0
2017,4/29/2017,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,4,2
2017,4/29/2017,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,5,2
2017,4/29/2017,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,6,2
2017,4/29/2017,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,7,4
2017,4/29/2017,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,8,2
2017,4/29/2017,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,9,5
2017,4/29/2017,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,10,3
2017,4/29/2017,KachemakBay,Homer Spit,59.657917,-151.433283,0.25,1,37
2017,4/29/2017,KachemakBay,Homer Spit,59.657917,-151.433283,0.25,2,32
2017,4/29/2017,KachemakBay,Homer Spit,59.657917,-151.433283,0.25,3,34
2017,4/29/2017,KachemakBay,Homer Spit,59.657917,-151.433283,0.25,4,15
2017,4/29/2017,KachemakBay,Homer Spit,59.657917,-151.433283,0.25,5,14
2017,4/29/2017,KachemakBay,Homer Spit,59.657917,-151.433283,0.25,6,24
2017,4/29/2017,KachemakBay,Homer Spit,59.657917,-151.433283,0.25,7,29
2017,4/29/2017,KachemakBay,Homer Spit,59.657917,-151.433283,0.25,8,27
2017,4/29/2017,KachemakBay,Homer Spit,59.657917,-151.433283,0.25,9,12
2017,4/29/2017,KachemakBay,Homer Spit,59.657917,-151.433283,0.25,10,43
2017,4/29/2017,KachemakBay,Homer Spit Drone,59.648533 ,-151.4365,0.25,1,41
2017,4/29/2017,KachemakBay,Homer Spit Drone,59.648533 ,-150.4365,0.25,2,13
2017,4/29/2017,KachemakBay,Homer Spit Drone,59.648533 ,-149.4365,0.25,3,26
2017,4/29/2017,KachemakBay,Homer Spit Drone,59.648533 ,-148.4365,0.25,4,27
2017,4/29/2017,KachemakBay,Homer Spit Drone,59.648533 ,-147.4365,0.25,5,7
2017,4/29/2017,KachemakBay,Homer Spit Drone,59.648533 ,-146.4365,0.25,6,24
2017,4/29/2017,KachemakBay,Homer Spit Drone,59.648533 ,-145.4365,0.25,7,31
2017,4/29/2017,KachemakBay,Homer Spit Drone,59.648533 ,-144.4365,0.25,8,14
2017,4/29/2017,KachemakBay,Homer Spit Drone,59.648533 ,-143.4365,0.25,9,26
2017,4/29/2017,KachemakBay,Homer Spit Drone,59.648533 ,-142.4365,0.25,10,24
2018,5/15/2018,KachemakBay,JakolofBay,59.449,-151.499,0.25,1,23
2018,5/15/2018,KachemakBay,JakolofBay,59.449,-151.499,0.25,2,24
2018,5/15/2018,KachemakBay,JakolofBay,59.449,-151.499,0.25,3,19
2018,5/15/2018,KachemakBay,JakolofBay,59.449,-151.499,0.25,4,36
2018,5/15/2018,KachemakBay,JakolofBay,59.449,-151.499,0.25,5,68
2018,5/15/2018,KachemakBay,JakolofBay,59.449,-151.499,0.25,6,44
2018,5/15/2018,KachemakBay,JakolofBay,59.449,-151.499,0.25,7,41
2018,5/15/2018,KachemakBay,JakolofBay,59.449,-151.499,0.25,8,39
2018,5/15/2018,KachemakBay,JakolofBay,59.449,-151.499,0.25,9,7
2018,5/15/2018,KachemakBay,JakolofBay,59.449,-151.499,0.25,10,13
2018,5/16/2018,KachemakBay,Herring Island,59.478218,-151.519772,0.25,1,98
2018,5/16/2018,KachemakBay,Herring Island,59.478218,-151.519772,0.25,2,68
2018,5/16/2018,KachemakBay,Herring Island,59.478218,-151.519772,0.25,3,74
2018,5/16/2018,KachemakBay,Herring Island,59.478218,-151.519772,0.25,4,28
2018,5/16/2018,KachemakBay,Herring Island,59.478218,-151.519772,0.25,5,83
2018,5/16/2018,KachemakBay,Herring Island,59.478218,-151.519772,0.25,6,102
2018,5/16/2018,KachemakBay,Herring Island,59.478218,-151.519772,0.25,7,43
2018,5/16/2018,KachemakBay,Herring Island,59.478218,-151.519772,0.25,8,96
2018,5/16/2018,KachemakBay,Herring Island,59.478218,-151.519772,0.25,9,112
2018,5/16/2018,KachemakBay,Herring Island,59.478218,-151.519772,0.25,10,75
2018,5/19/2018,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,1,38
2018,5/19/2018,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,2,13
2018,5/19/2018,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,3,6
2018,5/19/2018,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,4,3
2018,5/19/2018,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,5,2
2018,5/19/2018,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,6,6
2018,5/19/2018,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,7,8
2018,5/19/2018,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,8,2
2018,5/19/2018,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,9,6
2018,5/19/2018,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,10,3
2018,5/19/2018,KachemakBay,Homer Spit,59.657917,-151.433283,0.25,1,44
2018,5/19/2018,KachemakBay,Homer Spit,59.657917,-151.433283,0.25,2,45
2018,5/19/2018,KachemakBay,Homer Spit,59.657917,-151.433283,0.25,3,28
2018,5/19/2018,KachemakBay,Homer Spit,59.657917,-151.433283,0.25,4,16
2018,5/19/2018,KachemakBay,Homer Spit,59.657917,-151.433283,0.25,5,17
2018,5/19/2018,KachemakBay,Homer Spit,59.657917,-151.433283,0.25,6,29
2018,5/19/2018,KachemakBay,Homer Spit,59.657917,-151.433283,0.25,7,28
2018,5/19/2018,KachemakBay,Homer Spit,59.657917,-151.433283,0.25,8,38
2018,5/19/2018,KachemakBay,Homer Spit,59.657917,-151.433283,0.25,9,28
2018,5/19/2018,KachemakBay,Homer Spit,59.657917,-151.433283,0.25,10,32
2019,5/16/2019,KachemakBay,JakolofBay,59.449,-151.499,0.25,1,84
2019,5/16/2019,KachemakBay,JakolofBay,59.449,-151.499,0.25,2,94
2019,5/16/2019,KachemakBay,JakolofBay,59.449,-151.499,0.25,3,43
2019,5/16/2019,KachemakBay,JakolofBay,59.449,-151.499,0.25,4,124
2019,5/16/2019,KachemakBay,JakolofBay,59.449,-151.499,0.25,5,93
2019,5/16/2019,KachemakBay,JakolofBay,59.449,-151.499,0.25,6,75
2019,5/16/2019,KachemakBay,JakolofBay,59.449,-151.499,0.25,7,67
2019,5/16/2019,KachemakBay,JakolofBay,59.449,-151.499,0.25,8,83
2019,5/16/2019,KachemakBay,JakolofBay,59.449,-151.499,0.25,9,64
2019,5/16/2019,KachemakBay,JakolofBay,59.449,-151.499,0.25,10,48
2019,5/16/2019,KachemakBay,Herring Island,59.478218,-151.519772,0.25,1,134
2019,5/16/2019,KachemakBay,Herring Island,59.478218,-151.519772,0.25,2,94
2019,5/16/2019,KachemakBay,Herring Island,59.478218,-151.519772,0.25,3,82
2019,5/16/2019,KachemakBay,Herring Island,59.478218,-151.519772,0.25,4,98
2019,5/16/2019,KachemakBay,Herring Island,59.478218,-151.519772,0.25,5,64
2019,5/16/2019,KachemakBay,Herring Island,59.478218,-151.519772,0.25,6,52
2019,5/16/2019,KachemakBay,Herring Island,59.478218,-151.519772,0.25,7,48
2019,5/16/2019,KachemakBay,Herring Island,59.478218,-151.519772,0.25,8,98
2019,5/16/2019,KachemakBay,Herring Island,59.478218,-151.519772,0.25,9,56
2019,5/16/2019,KachemakBay,Herring Island,59.478218,-151.519772,0.25,10,82
2019,5/22/2019,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,1,42
2019,5/22/2019,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,2,52
2019,5/22/2019,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,3,72
2019,5/22/2019,KachemakBay,Peterson Bay,59.58208333,-151.264,0.25,4,62
