Region,Block Name,Site ID,Site Name,Year,Method,Percent Cover,Notes,,,
KEP,KEFJ,KEP_B05_EI_03,Nuka Bay,2013,Sonar,75%,,,,
KEP,KEFJ,KEP_B05_EI_04,Nuka Pass,2013,.,.,Not sampled due to equipment failure,,,
KEP,KEFJ,KEP_B05_EI_05,Harris,2013,Sonar,79%,,,,
PWS,NPWS,PWS_B07_EE_01,Cedar,2013,Sonar,76%,,,,
PWS,NPWS,PWS_B07_EE_02,Esther,2013,Sonar,40%,,,,
PWS,NPWS,PWS_B07_EE_03,Bettles,2013,Sonar,51%,,,,
PWS,NPWS,PWS_B07_EE_04,Perry,2013,Sonar,20%,,,,
PWS,NPWS,PWS_B07_EE_05,Unakwik,2013,Sonar,60%,,,,
PWS,WPWS,PWS_B08_EI_01,Hogan,2013,Sonar,65%,,,,
PWS,WPWS,PWS_B08_EI_02,Iktua,2013,Sonar,90%,,,,
PWS,WPWS,PWS_B08_EI_03,Whale,2013,.,.,Not sampled due to equipment failure,,,
PWS,WPWS,PWS_B08_EI_04,Johnson,2013,Sonar,89%,,,,
PWS,WPWS,PWS_B08_EI_05,Herring,2013,.,.,Not sampled due to equipment failure,,,
AKP,KATM,AKP_B10_EI_01,Kukak,2014,Sonar,56%,,,,
AKP,KATM,AKP_B10_EI_02,Kaflia,2014,Sonar,12%,,,,
AKP,KATM,AKP_B10_EI_03,Kinak,2014,Sonar,19%,,,,
AKP,KATM,AKP_B10_EI_04,Amalik,2014,Sonar,51%,,,,
AKP,KATM,AKP_B10_EI_05,Takli,2014,Sonar,42%,,,,
KEP,KEFJ,KEP_B05_EI_01,Aialik,2014,Camera,13%,,,,
KEP,KEFJ,KEP_B05_EI_02,McCarty,2014,Sonar,34%,,,,
KEP,KEFJ,KEP_B05_EI_03,Nuka Bay,2014,Sonar,80%,,,,
KEP,KEFJ,KEP_B05_EI_04,Nuka Pass,2014,Camera,44%,,,,
KEP,KEFJ,KEP_B05_EI_05,Harris,2014,Camera,74%,,,,
PWS,WPWS,PWS_B08_EI_01,Hogan,2014,Sonar,79%,,,,
PWS,WPWS,PWS_B08_EI_02,Iktua,2014,Sonar,76%,,,,
PWS,WPWS,PWS_B08_EI_03,Whale,2014,Sonar,58%,,,,
PWS,WPWS,PWS_B08_EI_04,Johnson,2014,Sonar,85%,,,,
PWS,WPWS,PWS_B08_EI_05,Herring,2014,Sonar,64%,,,,
PWS,EPWS,PWS_B09_EE_01,Galena,2014,Sonar,41%,,,,
PWS,EPWS,PWS_B09_EE_02,Fidalgo,2014,Sonar,34%,,,,
PWS,EPWS,PWS_B09_EE_03,Olsen,2014,Sonar,55%,,,,
PWS,EPWS,PWS_B09_EE_04,Simpson,2014,Sonar,48%,,,,
PWS,EPWS,PWS_B09_EE_05,Observation,2014,Camera,36%,,,,
AKP,KATM,AKP_B10_EI_01,Kukak,2015,Camera,71%,,,,
AKP,KATM,AKP_B10_EI_02,Kaflia,2015,Sonar,32%,,,,
AKP,KATM,AKP_B10_EI_03,Kinak,2015,Camera,18%,,,,
AKP,KATM,AKP_B10_EI_04,Amalik,2015,Sonar,50%,,,,
AKP,KATM,AKP_B10_EI_05,Takli,2015,Camera,56%,,,,
KEP,KEFJ,KEP_B05_EI_01,Aialik,2015,Sonar,16%,,,,
KEP,KEFJ,KEP_B05_EI_02,McCarty,2015,Sonar,37%,,,,
KEP,KEFJ,KEP_B05_EI_03,Nuka Bay,2015,Sonar,69%,,,,
KEP,KEFJ,KEP_B05_EI_04,Nuka Pass,2015,Camera,56%,,,,
KEP,KEFJ,KEP_B05_EI_05,Harris,2015,Sonar,52%,,,,
PWS,WPWS,PWS_B08_EI_01,Hogan,2015,Sonar,65%,,,,
PWS,WPWS,PWS_B08_EI_02,Iktua,2015,Sonar,66%,,,,
PWS,WPWS,PWS_B08_EI_03,Whale,2015,Sonar,84%,,,,
PWS,WPWS,PWS_B08_EI_04,Johnson,2015,Sonar,76%,,,,
PWS,WPWS,PWS_B08_EI_05,Herring,2015,Sonar,55%,,,,
AKP,KATM,AKP_B10_EI_01,Kukak,2016,Sonar,58%,,,,
AKP,KATM,AKP_B10_EI_02,Kaflia,2016,Sonar,32%,,,,
AKP,KATM,AKP_B10_EI_03,Kinak,2016,Sonar,20%,,,,
AKP,KATM,AKP_B10_EI_04,Amalik,2016,Sonar,51%,,,,
AKP,KATM,AKP_B10_EI_05,Takli,2016,Camera,56%,,,,
KEP,KEFJ,KEP_B05_EI_01,Aialik,2016,Sonar,19%,,,,
KEP,KEFJ,KEP_B05_EI_02,McCarty,2016,Sonar,41%,,,,
KEP,KEFJ,KEP_B05_EI_03,Nuka Bay,2016,Sonar,79%,,,,
KEP,KEFJ,KEP_B05_EI_04,Nuka Pass,2016,Sonar,55%,,,,
KEP,KEFJ,KEP_B05_EI_05,Harris,2016,Sonar,47%,,,,
PWS,WPWS,PWS_B08_EI_01,Hogan,2016,Sonar,62%,,,,
PWS,WPWS,PWS_B08_EI_02,Iktua,2016,Sonar,86%,,,,
PWS,WPWS,PWS_B08_EI_03,Whale,2016,Sonar,66%,,,,
PWS,WPWS,PWS_B08_EI_04,Johnson,2016,Sonar,70%,,,,
PWS,WPWS,PWS_B08_EI_05,Herring,2016,Sonar,60%,,,,
